Lana	21:47 3/4/2020	177
Linux	21:47 3/4/2020	110
Foo	21:47 3/4/2020	125
Mike	21:47 3/4/2020	123
Jim	21:48 3/4/2020	157
Jim	22:8 3/4/2020	105
Mike	22:8 3/4/2020	124
TomH	22:8 3/4/2020	128
Al-Sahim	22:8 3/4/2020	112
Tom	22:13 3/4/2020	114
Jim	22:13 3/4/2020	140
TomH	22:13 3/4/2020	100
AI	22:14 3/4/2020	144
Al-Sahim	22:14 3/4/2020	142
Mike	22:14 3/4/2020	159
Tom	22:16 3/4/2020	169
TomH	22:16 3/4/2020	98
Tom	22:16 3/4/2020	159
TomH	22:16 3/4/2020	131
Tom	22:16 3/4/2020	146
Mike	22:16 3/4/2020	144
Tom	22:17 3/4/2020	100
TomH	22:17 3/4/2020	135
Mike	22:17 3/4/2020	128
Lana	22:19 3/4/2020	177
Kalp	22:20 3/4/2020	149
Tom	22:20 3/4/2020	102
Mike	22:20 3/4/2020	165
Tom	22:20 3/4/2020	97
TomH	22:20 3/4/2020	121
Lana	22:22 3/4/2020	99
TomH	22:22 3/4/2020	162
Jim	22:22 3/4/2020	182
Tom	22:23 3/4/2020	122
Kalp	22:23 3/4/2020	106
AI	22:23 3/4/2020	159
Tom	22:25 3/4/2020	140
Lana	22:25 3/4/2020	163
Jim	22:25 3/4/2020	134
Jim	22:26 3/4/2020	194
Mike	22:26 3/4/2020	149
Lana	22:26 3/4/2020	126
Tom	22:31 3/4/2020	147
Kalp	22:31 3/4/2020	99
Mike	22:31 3/4/2020	107
Lana	22:31 3/4/2020	137
Tom	22:43 3/4/2020	178
Lana	22:44 3/4/2020	135
Jim	22:44 3/4/2020	142
Jim	22:49 3/4/2020	101
Tom	22:50 3/4/2020	141
Jim	22:50 3/4/2020	134
Mike	22:52 3/4/2020	95
Tom	22:52 3/4/2020	104
Jim	22:52 3/4/2020	156
Mike	22:53 3/4/2020	176
Tom	22:53 3/4/2020	99
TomH	22:53 3/4/2020	115
Jim	22:54 3/4/2020	156
Tom	22:54 3/4/2020	134
TomH	22:54 3/4/2020	128
Jim	22:54 3/4/2020	118
TomH	22:54 3/4/2020	120
Al-Sahim	22:54 3/4/2020	134
Tom	22:58 3/4/2020	126
Tom	22:58 3/4/2020	150
Kalp	22:58 3/4/2020	137
Jim	22:58 3/4/2020	114
TomH	22:58 3/4/2020	132
Al-Sahim	22:58 3/4/2020	137
Lana	23:0 3/4/2020	140
Tom	23:0 3/4/2020	124
Kalp	23:0 3/4/2020	103
Mike	23:1 3/4/2020	86
Tom	23:1 3/4/2020	139
TomH	23:1 3/4/2020	125
Al-Sahim	23:1 3/4/2020	212
Hope	23:2 3/4/2020	104
Linux	23:2 3/4/2020	158
Foo	23:2 3/4/2020	74
Trial	23:2 3/4/2020	138
Lana	23:3 3/4/2020	128
Tom	23:4 3/4/2020	133
Jim	23:8 3/4/2020	146
